No	Symbol	Company Name	Market Cap	Stock Price	Industry	Sector
1	NVDA	NVIDIA Corporation	4.36T	179.23	Semiconductors	Technology
2	AAPL	Apple Inc.	4.16T	281.83	Consumer Electronics	Technology
3	GOOG	Alphabet Inc.	3.86T	316.31	Internet Content & Information	Communication Services
4	GOOGL	Alphabet, Inc.	3.82T	316.20	Internet Content & Information	Communication Services
5	MSFT	Microsoft Corporation	3.62T	487.73	Software - Infrastructure	Technology
6	AMZN	Amazon.com, Inc.	2.50T	234.20	Internet Retail	Consumer Discretionary
7	AVGO	Broadcom Inc.	1.82T	385.50	Semiconductors	Technology
8	META	Meta Platforms, Inc.	1.62T	641.09	Internet Content & Information	Communication Services
9	TSLA	Tesla, Inc.	1.43T	428.61	Auto Manufacturers	Consumer Discretionary
10	BRK.B	Berkshire Hathaway Inc.	1.11T	509.84	Insurance - Diversified	Financials
11	LLY	Eli Lilly and Company	948.28B	1,059.08	Drug Manufacturers - General	Healthcare
12	WMT	Walmart Inc.	888.37B	111.43	Discount Stores	Consumer Staples
13	JPM	JPMorgan Chase & Co.	840.77B	308.85	Banks - Diversified	Financials
14	V	Visa Inc.	634.47B	331.47	Credit Services	Financials
15	ORCL	Oracle Corporation	572.24B	200.73	Software - Infrastructure	Technology
16	JNJ	Johnson & Johnson	496.41B	206.04	Drug Manufacturers - General	Healthcare
17	XOM	Exxon Mobil Corporation	492.69B	116.83	Oil & Gas Integrated	Energy
18	MA	Mastercard Incorporated	489.11B	544.67	Credit Services	Financials
19	NFLX	Netflix, Inc.	462.67B	109.19	Entertainment	Communication Services
20	COST	Costco Wholesale Corporation	404.48B	912.68	Discount Stores	Consumer Staples
21	PLTR	Palantir Technologies Inc.	398.84B	167.34	Software - Infrastructure	Technology
22	ABBV	AbbVie Inc.	396.78B	224.50	Drug Manufacturers - General	Healthcare
23	BAC	Bank of America Corporation	389.30B	53.31	Banks - Diversified	Financials
24	HD	The Home Depot, Inc.	357.45B	359.06	Home Improvement Retail	Consumer Discretionary
25	AMD	Advanced Micro Devices, Inc.	357.16B	219.38	Semiconductors	Technology
